,score,awards,symbol,date
7431,4,0,FANG,2020-12-08
10731,2,0,MIND,2020-12-08
2031,1,0,MELI,2020-12-08
4377,1,0,AKBA,2020-12-08
4374,1,0,AKAM,2020-12-08
13240,7,0,SPLK,2020-12-08
8703,2,0,GOOGL,2020-12-08
2091,4,0,MSEX,2020-12-08
2092,11,0,MSFT,2020-12-08
4366,2,0,AGRX,2020-12-08
3043,1,0,SAVE,2020-12-08
6033,80,0,CFO,2020-12-08
10531,8,0,MARA,2020-12-08
8822,1,0,GRVY,2020-12-08
6842,1,0,DISH,2020-12-08
3937,1,0,XLNX,2020-12-08
6083,5,0,CG,2020-12-08
10481,31,0,LXRX,2020-12-08
2164,5,0,MU,2020-12-08
10415,18,0,LULU,2020-12-08
10395,2,0,LTC,2020-12-08
14695,2,0,WIX,2020-12-08
13330,12,0,SQQQ,2020-12-08
8899,7,0,HA,2020-12-08
13976,13,0,TRUE,2020-12-08
6138,1,0,CIDM,2020-12-08
10776,2,0,MITK,2020-12-08
1968,2,0,MARA,2020-12-08
13050,4,0,SHOO,2020-12-08
5636,8,0,CALI,2020-12-08
5644,163,0,CALL,2020-12-08
11167,17,0,NCLH,2020-12-08
3851,1,0,WIN,2020-12-08
1815,1,0,LOGI,2020-12-08
11098,12,0,NAME,2020-12-08
5732,1,0,CAR,2020-12-08
11061,16,0,MVIS,2020-12-08
8522,5,0,GOGO,2020-12-08
11006,14,0,MU,2020-12-08
13709,1,0,TGTX,2020-12-08
11002,2,0,MTRX,2020-12-08
4486,385,0,AMD,2020-12-08
5792,44,0,CASH,2020-12-08
484,8,0,COST,2020-12-08
13178,167,2,SP,2020-12-08
1925,1,0,LULU,2020-12-08
5844,3,0,CBOE,2020-12-08
8593,14,0,GOOD,2020-12-08
10871,70,0,MSFT,2020-12-08
10842,2,0,MRVL,2020-12-08
5887,2,0,CDC,2020-12-08
10784,2,0,MMLP,2020-12-08
8476,2,0,GILT,2020-12-08
6173,1,0,CLSN,2020-12-08
6804,1,0,DGLY,2020-12-08
4172,7,0,ACLS,2020-12-08
220,1,0,AXTI,2020-12-08
6459,2,0,CREE,2020-12-08
9197,1,0,HMHC,2020-12-08
9638,2,0,IRDM,2020-12-08
6463,29,0,CRIS,2020-12-08
6474,3,0,CROX,2020-12-08
9200,-1,0,HMNY,2020-12-08
13736,1,0,TIGR,2020-12-08
9525,14,0,INTC,2020-12-08
2629,1,0,PLAY,2020-12-08
6678,59,0,DASH,2020-12-08
6506,12,0,CSCO,2020-12-08
2664,53,0,PLUG,2020-12-08
9239,1,0,HTHT,2020-12-08
6659,2,0,CZR,2020-12-08
9437,5,0,IIVI,2020-12-08
6633,1,0,CWCO,2020-12-08
9394,7,0,III,2020-12-08
6631,3,0,CVGI,2020-12-08
9312,75,0,ICLN,2020-12-08
14531,4,0,WBA,2020-12-08
4073,420,0,AAPL,2020-12-08
2833,2,0,QQQ,2020-12-08
2212,1,0,MVIS,2020-12-08
9765,42,0,JD,2020-12-08
4014,43,0,AAL,2020-12-08
7491,-11,0,FAST,2020-12-08
10321,5,0,LOOK,2020-12-08
2259,3,0,NCLH,2020-12-08
2977,14,0,ROLL,2020-12-08
10265,15,0,LONG,2020-12-08
13384,3,0,SRNE,2020-12-08
8965,68,0,HAS,2020-12-08
